1040;1232;-872
976;1192;-712
888;1104;-624
792;1016;-552
688;904;-472
600;856;-416
504;848;-352
424;776;-256
336;704;-232
288;624;-184
200;600;-128
160;592;-104
104;608;-24
64;592;-40
32;568;8
8;504;56
-8;472;96
-16;440;88
-32;408;136
-40;376;160
-104;344;200
-88;304;248
-72;248;288
-72;208;248
-56;160;288
-72;128;320
-64;88;344
-40;144;312
-16;120;352
8;104;320
24;64;288
80;56;256
152;72;240
192;104;232
240;136;128
304;144;80
352;112;0
456;80;-144
568;24;-280
712;-16;-368
872;-56;-488
1024;-40;-448
1136;88;-416
1328;320;-56
1552;688;568
1920;1224;904
2520;1912;968
3168;2600;992
3440;3128;624
3272;3376;136
2928;3384;48
2568;3184;-16
2192;2912;48
1824;2632;40
1496;2368;32
1184;2112;56
936;1904;176
680;1800;184
488;1680;216
288;1552;224
120;1376;176
-32;1184;136
-168;992;88
-280;848;96
-368;752;80
-448;632;72
-488;552;24
-512;488;-8
-568;432;24
-592;392;-8
-608;336;-40
-592;288;-40
-576;216;-64
-528;200;-96
-512;144;-80
-496;88;-88
-464;48;-40
-464;16;-72
-472;-32;-88
-464;-48;-48
-488;-32;-24
-512;-48;-32
-520;-48;-24
-544;-48;-16
-552;-48;-8
-568;-8;40
-568;64;-16
-592;240;-48
-592;624;-48
-616;1336;-240
-472;2176;-104
-168;3128;184
296;3600;952
1192;3840;1032
2624;3960;1544
3352;4016;1408
3560;4048;896
3056;3472;264
2480;2944;72
2096;2496;280
1816;2024;536
1568;1520;736
1352;1048;912
1144;664;904
960;360;760
800;168;672
656;80;568
544;16;448
480;24;432
416;32;424
408;-32;392
448;-120;392
488;-232;392
520;-328;368
576;-432;320
592;-544;280
616;-640;280
648;-704;200
616;-752;216
592;-840;184
512;-864;216
432;-896;192
384;-896;256
328;-896;256
328;-848;264
344;-808;288
320;-744;248
360;-624;120
368;-520;-56
440;-368;-168
520;-224;-184
672;-120;-200
904;144;-376
1320;728;-608
1856;1624;-112
2160;2584;1328
2640;3328;2528
3360;3704;1664
3480;3888;848
2936;3984;-104
2312;3632;-592
1696;3120;-576
1184;2832;-272
760;2680;-48
392;2480;32
64;2184;88
-168;1824;216
-264;1448;280
-312;1128;248
-312;848;264
640;-224;-56
560;-128;-48
488;-48;-184
560;136;-272
888;816;-360
1536;2040;-48
1864;3056;1800
2264;3568;1152
2976;3824;-8
3032;3952;-200
2768;4016;-1064
2184;4048;-952
1496;4064;-648
920;3656;-224
408;3064;48
-32;2416;224
-352;1912;296
-464;1560;200
-448;1248;160
-376;992;208
-328;760;208
-320;584;184
-328;440;176
-352;312;128
-392;208;136
-408;176;176
-384;120;176
-360;80;176
-296;32;184
-264;32;168
-232;0;240
-248;32;312
-264;-24;248
-288;-48;264
-296;-88;248
-336;-128;272
-344;-120;224
-384;-120;184
-424;-104;168
-456;-56;144
-480;-56;152
-504;-48;88
-504;-32;64
-496;-48;40
-488;-48;24
-504;-56;-40
-560;-40;-56
-680;80;-80
-744;464;-128
-728;1320;-184
-472;2608;-696
-96;3344;272
408;3712;1832
1664;3896;456
2872;3984;560
3440;4032;-560
3016;3960;-528
2424;3488;-48
1832;2952;240
1352;2352;248
936;1744;432
648;1248;432
536;952;312
528;720;160
528;448;88
480;208;16
368;96;-56
264;64;-64
208;48;16
160;72;64
168;24;136
192;-16;192
216;-48;224
224;-56;256
232;-72;264
256;-112;216
272;-104;248
328;-72;320
376;-112;288
424;-136;296
464;-176;344
464;-216;360
464;-248;400
440;-296;440
408;-328;488
408;-432;472
416;-576;432
432;-776;328
424;-912;288
432;-944;88
464;-840;8
496;-600;-24
552;-248;-8
696;0;-80
936;232;-536
1320;872;-696
1904;2040;312
2704;3064;768
3392;3568;280
3736;3824;-264
3296;3952;-760
2424;4016;-416
1616;3896;64
1016;3448;312
520;2976;256
88;2544;224
-216;2192;40
-304;1840;-48
-288;1488;96
-192;1176;112
-192;848;160
-216;560;144
-280;384;152
-352;256;264
-336;136;208
-304;48;224
-280;-32;248
-272;-32;304
-256;-40;312
-288;-72;384
-280;-88;320
-296;-112;296
-320;-128;304
-328;-144;256
-360;-144;304
-400;-144;312
-464;-128;304
-544;-128;320
-568;-136;200
-608;-144;120
-624;-152;48
-600;-128;16
-608;-88;32
-608;-64;64
-632;-40;0
-680;-24;-8
-744;40;-72
-776;312;-72
-736;888;64
-584;1800;416
-280;2944;312
248;3512;376
1216;3792;-392
2352;3936;-64
3024;4008;-400
2952;4040;-128
2544;3864;96
2024;3456;152
1600;2896;136
1336;2328;48
1224;1808;8
1120;1368;24
1056;1008;-8
928;712;56
768;496;40
600;376;136
488;336;184
480;304;304
488;208;352
488;80;312
480;-40;336
464;-160;296
440;-240;264
448;-264;240
456;-280;216
488;-296;208
544;-328;224
608;-368;248
624;-448;288
624;-560;240
632;-640;328
600;-752;304
552;-800;344
520;-800;304
520;-792;312
536;-776;304
568;-792;296
648;-760;264
704;-744;240
760;-712;128
760;-640;24
744;-528;-32
792;-328;96
944;-56;16
1288;504;-8
1744;1400;632
2400;2680;872
3240;3376;-120
3664;3728;-104
3456;3904;-496
2752;3992;-296
2088;4032;64
1560;3952;152
1128;3528;152
728;3000;32
384;2536;-56
120;2176;-104
-32;1888;-88
-96;1640;8
-144;1408;8
-184;1192;-48
-192;984;96
-192;752;32
-200;576;112
-224;408;128
-272;304;136
-304;256;216
-328;184;288
-336;120;280
-336;48;208
-360;-32;176
-360;-88;176
-360;-88;176
-368;-64;232
-360;-32;136
-400;-16;192
-440;-8;200
-488;8;216
-488;8;224
-528;-8;272
-600;-40;248
-624;-96;224
-632;-104;216
-648;-96;160
-648;-80;112
-672;-64;88
-704;-72;-56
-768;16;-80
-832;432;-128
-712;1248;-88
-416;2488;-152
152;3288;424
1064;3680;-24
2552;3880;8
3320;3976;-536
3512;4032;-456
3128;3992;-136
2560;3576;56
2080;2912;160
1752;2248;24
1608;1688;-40
1496;1240;-176
1392;928;-176
1176;720;-168
992;576;-40
800;504;8
640;480;184
536;456;224
520;392;304
512;264;352
512;120;336
520;-16;352
528;-120;400
504;-168;392
504;-256;312
528;-304;328
568;-352;360
608;-400;336
640;-456;392
648;-568;432
640;-656;344
632;-704;416
624;-752;392
600;-784;352
568;-784;384
568;-744;416
576;-696;408
592;-656;416
632;-648;360
640;-616;288
656;-544;232
672;-472;120
704;-384;-96
720;-320;-160
776;-240;-184
968;-8;-112
1288;640;312
1712;1856;1552
2608;2968;624
3344;3520;272
3712;3800;-424
3192;3936;-1008
2488;4008;-704
1880;4040;-360
1384;3792;16
944;3304;144
552;2792;24
224;2320;-88
-56;1896;-168
-200;1568;-120
-216;1328;-96
-256;1096;40
-288;880;64
-320;688;184
-352;504;168
-352;368;120
-376;264;128
-400;160;120
-400;112;80
-408;120;176
-408;160;248
-384;176;304
-384;144;376
-408;120;408
-432;72;392
-464;40;368
-480;-8;360
-536;-16;344
-568;0;312
-576;8;248
-592;0;168
-608;-16;152
-624;0;152
-640;16;80
-632;16;136
-616;24;32
-608;56;-80
-576;72;-112
-568;112;-184
-576;256;-248
-608;632;-136
-600;1376;160
-520;2600;296
-264;3336;1160
320;3712;56
1472;3896;40
2600;3984;-160
3128;4032;-224
3144;4056;-168
2840;3808;40
2392;3248;112
2032;2632;128
1768;2056;104
1632;1504;72
1496;984;48
1328;568;72
1088;320;24
784;208;88
568;208;232
432;192;320
368;152;352
344;96;440
384;8;376
368;-80;472
